order_no,id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,filled_avg_price,qty,filled_qty,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm,asset_id,symbol,current_price,pnl
822,73e7fc9f-6e43-4413-984b-1b40223e9062,2023-06-07 18:15:20.299903+00:00,2023-06-07 18:15:20.313629+00:00,2023-06-07 18:15:20.298578+00:00,2023-06-07 18:15:20.302466+00:00,,,,,91.98,16.0,16.0,limit,buy,gtc,92.32176682,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-49.75999999999999
823,19247aae-6686-4e07-8115-397ebb45eb48,2023-06-07 18:15:18.171294+00:00,2023-06-07 18:15:18.214548+00:00,2023-06-07 18:15:18.169984+00:00,2023-06-07 18:15:18.173034+00:00,,,,,14.636693106,141.0,141.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-141.94372794599977
824,d722a2c2-8777-4a03-9f38-03523411e3c9,2023-06-07 18:15:18.130257+00:00,2023-06-07 18:38:38.464863+00:00,2023-06-07 18:15:18.129099+00:00,2023-06-07 18:38:38.442079+00:00,,,,,14.615904498,22.0,22.0,limit,buy,gtc,14.615904498,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-21.689898956
825,be6db8de-186a-4e77-a557-e49ace089b0a,2023-06-07 18:15:16.080189+00:00,2023-06-07 18:15:16.113994+00:00,2023-06-07 18:15:16.078986+00:00,2023-06-07 18:15:16.082202+00:00,,,,,115.85767,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-85.98039000000003
826,abc707a6-988b-4cef-8299-09df2e8cd911,2023-06-07 18:15:16.030241+00:00,2023-06-07 18:16:25.763999+00:00,2023-06-07 18:15:16.029030+00:00,2023-06-07 18:16:25.732701+00:00,,,,,115.515968843,14.0,14.0,limit,buy,gtc,115.515968843,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-66.02356380199998
827,6382189f-8c31-462f-99f2-9d382576f28c,2023-06-07 18:11:33.897211+00:00,2023-06-07 18:11:33.913496+00:00,2023-06-07 18:11:33.895994+00:00,2023-06-07 18:11:33.899535+00:00,,,,,115.796689,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-84.94371300000006
828,e679487e-e175-4057-b0ff-22af2bab140f,2023-06-07 18:11:33.850794+00:00,2023-06-07 18:16:50.164881+00:00,2023-06-07 18:11:33.849386+00:00,2023-06-07 18:16:50.129700+00:00,,,,,115.498207473,14.0,14.0,limit,buy,gtc,115.498207473,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-65.77490462199995
829,c449231c-a5a5-4db4-bea8-4628d6c185e0,2023-06-07 18:11:30.149371+00:00,2023-06-07 18:11:30.163501+00:00,2023-06-07 18:11:30.148148+00:00,2023-06-07 18:11:30.151346+00:00,,,,,1920.65415,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.03415000000018
830,7a66456e-1f48-46c5-9733-398c594cc5ba,2023-06-07 18:11:30.102880+00:00,2023-06-07 18:11:30.114595+00:00,2023-06-07 18:11:30.101456+00:00,2023-06-07 18:11:30.105130+00:00,,,,,1920.4,1.0,1.0,limit,buy,gtc,1921.073649989,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-80.7800000000002
831,b5152413-3c04-454f-9ec5-6c4b85698c86,2023-06-07 18:11:26.441519+00:00,2023-06-07 18:11:26.463730+00:00,2023-06-07 18:11:26.440286+00:00,2023-06-07 18:11:26.443402+00:00,,,,,91.8672,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-65.93839999999983
832,185c8948-33cd-4496-90c1-41189f050121,2023-06-07 18:11:26.397180+00:00,2023-06-07 18:11:26.413602+00:00,2023-06-07 18:11:26.395432+00:00,2023-06-07 18:11:26.399505+00:00,,,,,91.8647898,16.0,16.0,limit,buy,gtc,92.358756908,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-47.91663679999988
833,44c5abed-5483-4423-85e5-f6a6c5367bab,2023-06-07 18:11:24.414331+00:00,2023-06-07 18:11:24.463261+00:00,2023-06-07 18:11:24.413202+00:00,2023-06-07 18:11:24.416470+00:00,,,,,19.8,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-273.51999999999987
834,1e5ea9bf-5bcc-49c2-9d32-20ae502b7029,2023-06-07 18:11:24.366328+00:00,2023-06-07 18:22:07.113220+00:00,2023-06-07 18:11:24.365232+00:00,2023-06-07 18:22:07.103140+00:00,,,,,19.7814965,90.0,90.0,limit,buy,gtc,19.7814965,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-235.0346849999998
835,9603027d-49fe-4a72-9270-84bd8b4db879,2023-06-07 18:10:59.706818+00:00,2023-06-07 18:10:59.713861+00:00,2023-06-07 18:10:59.705352+00:00,2023-06-07 18:10:59.708854+00:00,,,,,14.631887255,141.0,141.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-141.26610295499995
836,facad0c7-1bd5-44af-8ddf-677013ccb5ba,2023-06-07 18:10:59.666377+00:00,2023-06-07 18:14:17.564521+00:00,2023-06-07 18:10:59.665238+00:00,2023-06-07 18:14:17.523455+00:00,,,,,14.614529736,37.0,37.0,limit,buy,gtc,14.614529736,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-36.42760023199996
837,bb1f54e8-c179-4492-b570-09602eb3ed75,2023-06-07 18:10:57.186380+00:00,2023-06-07 18:10:57.213964+00:00,2023-06-07 18:10:57.185248+00:00,2023-06-07 18:10:57.188235+00:00,,,,,115.7061,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-83.40370000000016
838,e81b31f3-da13-46ef-8d19-799d182c948e,2023-06-07 18:10:57.143114+00:00,2023-06-07 18:16:50.213519+00:00,2023-06-07 18:10:57.141817+00:00,2023-06-07 18:16:50.180972+00:00,,,,,115.484165516,15.0,15.0,limit,buy,gtc,115.484165516,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-70.26248274000011
839,d3151994-3520-4a8c-9183-ea8373a861e7,2023-06-07 18:10:54.280101+00:00,2023-06-07 18:10:54.313379+00:00,2023-06-07 18:10:54.278884+00:00,2023-06-07 18:10:54.282134+00:00,,,,,1919.785,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-80.16500000000019
840,405baa60-15cb-4fb8-88a4-f3941fd6f278,2023-06-07 18:10:54.232532+00:00,2023-06-07 18:10:54.264074+00:00,2023-06-07 18:10:54.231225+00:00,2023-06-07 18:10:54.234561+00:00,,,,,1920.331,1.0,1.0,limit,buy,gtc,1921.20904286,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-80.71100000000001
841,817fe5bb-2942-4703-9056-40a510094f43,2023-06-07 18:10:52.225925+00:00,2023-06-07 18:10:52.264347+00:00,2023-06-07 18:10:52.224570+00:00,2023-06-07 18:10:52.228501+00:00,,,,,91.89083978,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-66.45847515999975
842,2ee9d5de-64f6-4e54-bafb-ce4400893da0,2023-06-07 18:10:52.180171+00:00,2023-06-07 18:10:52.213826+00:00,2023-06-07 18:10:52.178778+00:00,2023-06-07 18:10:52.182245+00:00,,,,,91.89083978,16.0,16.0,limit,buy,gtc,92.400105798,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-48.33343647999982
843,e1e9fc82-b108-489f-9a7a-b693bae04b36,2023-06-07 18:10:49.913747+00:00,2023-06-07 18:10:49.963355+00:00,2023-06-07 18:10:49.912020+00:00,2023-06-07 18:10:49.915906+00:00,,,,,19.782623,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-271.7127919999999
844,129d5ae8-3816-4435-b633-b5a7d8e996a7,2023-06-07 18:10:49.861825+00:00,2023-06-07 18:22:07.113464+00:00,2023-06-07 18:10:49.860351+00:00,2023-06-07 18:22:07.103147+00:00,,,,,19.78037,95.0,95.0,limit,buy,gtc,19.78037,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-247.98514999999998
845,1adfa97e-59e5-4429-a9d0-4406ee2280ed,2023-06-07 18:10:27.659568+00:00,2023-06-07 18:20:02.914929+00:00,2023-06-07 18:10:27.657751+00:00,2023-06-07 18:20:02.867206+00:00,,,,,4.396,873.300799999,873.300799999,market,sell,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,-156.32084319982124
