order_no,id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,filled_avg_price,qty,filled_qty,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm,asset_id,symbol,current_price,pnl
1712,cb0379e0-5f46-4bda-9814-fa866ce435c9,2023-06-07 03:55:12.943991+00:00,2023-06-07 03:55:31.763519+00:00,2023-06-07 03:55:12.942801+00:00,2023-06-07 03:55:31.733794+00:00,,,,,14.774520665,49.0,49.0,limit,buy,gtc,14.774520665,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-56.081512585
1713,5e972e61-89a5-4d55-869f-2750035a8e65,2023-06-07 03:50:19.385084+00:00,2023-06-07 03:50:19.413787+00:00,2023-06-07 03:50:19.383916+00:00,2023-06-07 03:50:19.387034+00:00,,,,,4.835621607,419.243999999,419.243999999,market,sell,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,109.26404500484739
1714,8d1c0e0b-56bb-4137-aa40-1f6a9cf2d5b7,2023-06-07 03:50:17.552668+00:00,2023-06-07 03:50:17.564728+00:00,2023-06-07 03:50:17.551579+00:00,2023-06-07 03:50:17.554799+00:00,,,,,14.81740902,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-162.67503573999983
1715,964c69d6-e0e5-4797-8891-04d62db2f2e3,2023-06-07 03:50:17.512662+00:00,2023-06-07 03:51:26.113660+00:00,2023-06-07 03:50:17.511275+00:00,2023-06-07 03:51:26.064286+00:00,,,,,14.769962752,69.0,69.0,limit,buy,gtc,14.769962752,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-78.65742988799992
1716,3a6870d8-6443-4e85-b4f3-0052880dba1b,2023-06-07 03:50:16.322004+00:00,2023-06-07 03:50:16.364857+00:00,2023-06-07 03:50:16.320725+00:00,2023-06-07 03:50:16.326252+00:00,,,,,1908.04446,0.9982,0.9982,market,sell,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,68.30129597200018
1717,5449eb25-f9a0-4324-b272-a36f6eb7560c,2023-06-07 03:45:17.446196+00:00,2023-06-07 03:45:17.464278+00:00,2023-06-07 03:45:17.445061+00:00,2023-06-07 03:45:17.448346+00:00,,,,,4.855558235,420.0,420.0,market,buy,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,-117.8344587
1718,970e0a91-0b85-4f0c-b53b-99f1b4b3decb,2023-06-07 03:45:15.660473+00:00,2023-06-07 03:45:15.713660+00:00,2023-06-07 03:45:15.659362+00:00,2023-06-07 03:45:15.662930+00:00,,,,,1909.7318006,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-70.11180060000015
1719,b7675e91-9e7b-4bbf-9058-8b18afc6c76d,2023-06-07 03:45:14.701738+00:00,2023-06-07 03:45:14.714690+00:00,2023-06-07 03:45:14.700416+00:00,2023-06-07 03:45:14.704272+00:00,,,,,90.943359454,358.514799999,358.514799999,market,sell,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,743.3300499768453
1720,b2569ee6-0755-4d83-84dc-a787a0980258,2023-06-07 03:45:13.225742+00:00,2023-06-07 03:45:13.263628+00:00,2023-06-07 03:45:13.224612+00:00,2023-06-07 03:45:13.227272+00:00,,,,,14.82795774,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-164.12021037999995
1721,aea66b48-7045-45b8-894e-e11b3cd1650e,2023-06-07 03:45:13.184055+00:00,2023-06-07 03:52:43.763768+00:00,2023-06-07 03:45:13.182895+00:00,2023-06-07 03:52:43.719331+00:00,,,,,14.760544904,78.0,78.0,limit,buy,gtc,14.760544904,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-88.18250251199991
1722,520f2e88-b0d9-42e6-9085-309a147fa9df,2023-06-07 03:40:14.261338+00:00,2023-06-07 03:40:14.314271+00:00,2023-06-07 03:40:14.260119+00:00,,,2023-06-07 03:40:14.263381+00:00,,,,158.0,0.0,market,sell,gtc,,,canceled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,
1723,c5677db0-e5da-4bda-abda-322096b217d4,2023-06-07 03:40:13.949160+00:00,2023-06-07 03:40:13.963614+00:00,2023-06-07 03:40:13.947788+00:00,,,2023-06-07 03:40:13.951259+00:00,,,,316.548399999,0.0,market,sell,gtc,,,canceled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,
1724,97460820-b453-40fa-8c6c-0eb6ea360003,2023-06-07 03:40:12.355160+00:00,2023-06-07 03:40:12.363989+00:00,2023-06-07 03:40:12.354013+00:00,2023-06-07 03:40:12.357133+00:00,,2023-06-07 03:40:12.357139+00:00,,,14.72925854,542.0,121.58536744,market,sell,gtc,,,canceled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,595.7981286799995
1725,ed7db00c-4b9b-452f-973a-58bfbbe7d21b,2023-06-07 03:40:11.943404+00:00,2023-06-07 03:40:11.964972+00:00,2023-06-07 03:40:11.942226+00:00,2023-06-07 03:40:11.947715+00:00,,2023-06-07 03:40:11.947720+00:00,,,14.735,1084.172199994,120.46111,market,sell,gtc,,,canceled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,1198.0102809933685
1726,97442416-b0f2-40df-8970-e7cf97604433,2023-06-07 03:35:42.766761+00:00,2023-06-07 03:35:42.813670+00:00,2023-06-07 03:35:42.765723+00:00,,,2023-06-07 03:35:42.769066+00:00,,,,542.0,0.0,market,sell,gtc,,,canceled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,
1727,df108f39-231f-4c44-965c-c136f5ac1c6e,2023-06-07 03:35:41.145936+00:00,2023-06-07 03:35:41.164215+00:00,2023-06-07 03:35:41.144775+00:00,,,2023-06-07 03:35:41.148018+00:00,,,,138.0,0.0,market,sell,gtc,,,canceled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,
1728,b9ac2d11-3bfe-49e7-8dbc-05dc3fd1ffb1,2023-06-07 03:35:40.806071+00:00,2023-06-07 03:35:40.813989+00:00,2023-06-07 03:35:40.804911+00:00,,,2023-06-07 03:35:40.809480+00:00,,,,276.580399999,0.0,market,sell,gtc,,,canceled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,
1729,e3955610-3226-4a1f-9527-898ede27bdbd,2023-06-07 03:35:18.813367+00:00,2023-06-07 03:35:18.864458+00:00,2023-06-07 03:35:18.812133+00:00,2023-06-07 03:35:18.815618+00:00,,,,,4.812295468,1758.0032,1758.0032,market,sell,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,417.1661920894978
1730,7ecfbd08-684c-4edd-86e3-6eeba78c2e6c,2023-06-07 03:35:16.669112+00:00,2023-06-07 03:35:16.714313+00:00,2023-06-07 03:35:16.668070+00:00,,,2023-06-07 03:35:16.671327+00:00,,,,542.0,0.0,market,sell,gtc,,,canceled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,
1731,642fad40-6932-436d-8f67-663cd45aa45c,2023-06-07 03:35:14.615845+00:00,2023-06-07 03:35:14.663967+00:00,2023-06-07 03:35:14.614658+00:00,,,2023-06-07 03:35:14.617908+00:00,,,,138.0,0.0,market,sell,gtc,,,canceled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,
1732,7530cadc-eebc-44e1-bde1-35f1c23676da,2023-06-07 03:35:14.247573+00:00,2023-06-07 03:35:14.263752+00:00,2023-06-07 03:35:14.246363+00:00,,,2023-06-07 03:35:14.251800+00:00,,,,276.580399999,0.0,market,sell,gtc,,,canceled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,
1733,120995d2-889f-4309-900b-6ba052b5d825,2023-06-07 03:30:29.189846+00:00,2023-06-07 03:30:29.214261+00:00,2023-06-07 03:30:29.188764+00:00,2023-06-07 03:30:29.191879+00:00,,,,,14.824779128,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-163.68474053599982
1734,b4f44845-28fc-4fbb-95ec-f48c3d73e3e0,2023-06-07 03:30:29.149616+00:00,2023-06-07 08:36:42.214044+00:00,2023-06-07 03:30:29.148594+00:00,2023-06-07 08:36:42.184418+00:00,,,,,14.72260319,71.0,71.0,limit,buy,gtc,14.72260319,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-77.57482648999988
1735,6355df2f-0eae-4dda-8550-8866c0768f1d,2023-06-07 03:30:26.738265+00:00,2023-06-07 03:30:26.764064+00:00,2023-06-07 03:30:26.737083+00:00,2023-06-07 03:30:26.743508+00:00,,,,,91.60256009,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-60.11632197999984
1736,9b32b55d-049a-4b11-b40c-df0468fb34e2,2023-06-07 03:30:26.690258+00:00,2023-06-07 03:33:39.864287+00:00,2023-06-07 03:30:26.689064+00:00,2023-06-07 03:33:39.815356+00:00,,,,,91.301976298,19.0,19.0,limit,buy,gtc,91.301976298,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-46.207549661999906
1737,c98011c1-ea12-428b-b248-6b6e1efebbdd,2023-06-07 03:25:16.093852+00:00,2023-06-07 03:25:16.113962+00:00,2023-06-07 03:25:16.092776+00:00,2023-06-07 03:25:16.096143+00:00,,,,,14.842479697,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-166.10971848899987
1738,99e5bf5e-5662-4bad-993a-4079e9d5d459,2023-06-07 03:25:16.054337+00:00,2023-06-07 09:50:58.163994+00:00,2023-06-07 03:25:16.053114+00:00,2023-06-07 09:50:58.157260+00:00,,,,,14.702380889,80.0,80.0,limit,buy,gtc,14.702380889,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-85.79047111999998
1739,d0fcd659-001b-4352-9def-ec81af38eeeb,2023-06-07 03:25:13.955353+00:00,2023-06-07 03:25:13.963901+00:00,2023-06-07 03:25:13.954112+00:00,2023-06-07 03:25:13.957972+00:00,,,,,91.5833159,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-59.69294979999995
1740,ac55ebbf-1d1b-4791-8ec2-9a78877c724f,2023-06-07 03:25:13.913691+00:00,2023-06-07 03:27:11.163573+00:00,2023-06-07 03:25:13.912377+00:00,2023-06-07 03:27:11.124912+00:00,,,,,91.27412163,19.0,19.0,limit,buy,gtc,91.27412163,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.67831096999984
1741,52bd057b-de61-4689-9db8-30585509ad87,2023-06-07 03:20:12.766833+00:00,2023-06-07 03:20:12.814260+00:00,2023-06-07 03:20:12.765804+00:00,2023-06-07 03:20:12.768754+00:00,,,,,91.63960713,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-60.93135685999994
1742,bca55ac2-3305-4524-a179-066fb2a7e895,2023-06-07 03:20:12.726583+00:00,2023-06-07 03:34:40.514518+00:00,2023-06-07 03:20:12.725345+00:00,2023-06-07 03:34:40.478868+00:00,,,,,91.221575385,20.0,20.0,limit,buy,gtc,91.221575385,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-47.03150769999979
1743,c479f807-7a61-41cc-8229-cf10d49168b9,2023-06-07 03:15:18.136064+00:00,2023-06-07 03:15:18.164458+00:00,2023-06-07 03:15:18.134943+00:00,2023-06-07 03:15:18.138248+00:00,,,,,14.811717385,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-161.89528174499986
1744,6ca14c0d-372e-4601-92f4-66d1049497cd,2023-06-07 03:15:18.095576+00:00,2023-06-07 09:54:53.063828+00:00,2023-06-07 03:15:18.094515+00:00,2023-06-07 09:54:53.015307+00:00,,,,,14.680193812,90.0,90.0,limit,buy,gtc,14.680193812,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-94.51744307999999
1745,35251fbd-c582-43f9-8256-d7cbf73d0315,2023-06-07 03:15:16.021562+00:00,2023-06-07 03:15:16.063947+00:00,2023-06-07 03:15:16.020317+00:00,2023-06-07 03:15:16.023181+00:00,,,,,91.5505,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-58.97099999999989
1746,5ddb80b8-fb74-4280-a954-4250804ced83,2023-06-07 03:15:15.978624+00:00,2023-06-07 03:36:26.463780+00:00,2023-06-07 03:15:15.977386+00:00,2023-06-07 03:36:26.435014+00:00,,,,,91.166345007,20.0,20.0,limit,buy,gtc,91.166345007,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.92690013999999
1747,f03393ab-d2d3-4cc3-867f-39fba0329faa,2023-06-07 03:10:15.861814+00:00,2023-06-07 03:10:15.913929+00:00,2023-06-07 03:10:15.860385+00:00,2023-06-07 03:10:15.864404+00:00,,,,,91.339827,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-54.33619399999989
1748,1ff5b257-d556-4ce4-9e65-11518446f0ad,2023-06-07 03:10:15.819798+00:00,2023-06-07 03:37:38.563971+00:00,2023-06-07 03:10:15.818573+00:00,2023-06-07 03:37:38.555391+00:00,,,,,91.131337049,20.0,20.0,limit,buy,gtc,91.131337049,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.22674097999982
1749,8ac2de49-29b1-491f-920e-ed39709812df,2023-06-07 03:10:13.283211+00:00,2023-06-07 03:10:13.314050+00:00,2023-06-07 03:10:13.281975+00:00,2023-06-07 03:10:13.285283+00:00,,,,,14.717834243,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-149.03329129099995
1750,6cf81d6c-23f6-4d2e-a8dc-9dd93be2cf99,2023-06-07 03:10:13.240900+00:00,2023-06-07 09:56:10.163846+00:00,2023-06-07 03:10:13.239655+00:00,2023-06-07 09:56:10.159053+00:00,,,,,14.670611061,99.0,99.0,limit,buy,gtc,14.670611061,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-103.020495039
1751,3367c86d-d6e9-4716-9c1e-8354a4d94c3f,2023-06-07 03:05:21.794408+00:00,2023-06-07 03:05:21.814412+00:00,2023-06-07 03:05:21.793230+00:00,2023-06-07 03:05:21.796768+00:00,,,,,91.4225,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-56.15499999999989
1752,f24709ac-e2f5-43ef-ad24-a989bf3c08a0,2023-06-07 03:05:21.753988+00:00,2023-06-07 03:40:52.064588+00:00,2023-06-07 03:05:21.752853+00:00,2023-06-07 03:40:52.020734+00:00,,,,,91.057727436,21.0,21.0,limit,buy,gtc,91.057727436,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.942276155999764
1753,1335fc77-34e7-4419-aae7-e66587f334c3,2023-06-07 03:05:19.618696+00:00,2023-06-07 03:05:19.663912+00:00,2023-06-07 03:05:19.617621+00:00,2023-06-07 03:05:19.620686+00:00,,,,,14.731065819,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-150.8460172029998
1754,de767582-3412-4792-b3e2-c686ea6965dc,2023-06-07 03:05:19.575720+00:00,2023-06-07 09:57:18.214012+00:00,2023-06-07 03:05:19.574364+00:00,2023-06-07 09:57:18.203707+00:00,,,,,14.649963493,109.0,109.0,limit,buy,gtc,14.649963493,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-111.17602073699987
1755,e831ff8d-2d3a-4a8c-8f80-01c2795ee834,2023-06-07 03:00:18.694246+00:00,2023-06-07 03:00:18.713840+00:00,2023-06-07 03:00:18.693111+00:00,2023-06-07 03:00:18.696368+00:00,,,,,91.0994,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-49.04679999999996
1756,cf875d87-8fa5-4164-bfce-064312eafb3e,2023-06-07 03:00:18.652511+00:00,2023-06-07 03:40:52.064769+00:00,2023-06-07 03:00:18.651352+00:00,2023-06-07 03:40:52.020738+00:00,,,,,91.04362744,21.0,21.0,limit,buy,gtc,91.04362744,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.64617623999979
1757,f2d20efd-3c57-457a-843b-7619e2b840cc,2023-06-07 02:55:17.308579+00:00,2023-06-07 02:55:17.313539+00:00,2023-06-07 02:55:17.307530+00:00,2023-06-07 02:55:17.310714+00:00,,,,,4.827432799,421.0,421.0,market,buy,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,-106.27420837900006
1758,8b4c5565-8675-40b2-9dc6-250688ff4ea7,2023-06-07 02:55:17.256950+00:00,2023-06-07 02:55:17.363537+00:00,2023-06-07 02:55:17.255661+00:00,2023-06-07 02:55:17.327474+00:00,,,,,4.825171358,173.0,173.0,limit,buy,gtc,4.825171358,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,-43.27964493400004
1759,55a87c06-451c-40ce-8c58-c2bf0e92a817,2023-06-07 02:55:13.365746+00:00,2023-06-07 02:55:13.414198+00:00,2023-06-07 02:55:13.364672+00:00,2023-06-07 02:55:13.367939+00:00,,,,,14.657320364,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-140.74288986799993
1760,ec46bd39-8af4-4c56-8580-988c37ffb896,2023-06-07 02:55:13.324594+00:00,2023-06-07 02:56:57.363876+00:00,2023-06-07 02:55:13.323509+00:00,2023-06-07 02:56:57.332022+00:00,,,,,14.646147562,127.0,127.0,limit,buy,gtc,14.646147562,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-129.05074037399984
1761,c367fb2c-18ab-45d7-bbd5-e852b44c2aed,2023-06-07 02:50:16.154004+00:00,2023-06-07 02:50:16.164322+00:00,2023-06-07 02:50:16.152970+00:00,2023-06-07 02:50:16.155997+00:00,,,,,4.830941203,420.0,420.0,market,buy,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,-107.49530525999995
1762,2a2cddc6-32d8-41ad-bf3f-7685bca78c1a,2023-06-07 02:50:16.113959+00:00,2023-06-07 02:50:16.164080+00:00,2023-06-07 02:50:16.112864+00:00,2023-06-07 02:50:16.116119+00:00,,,,,4.813857,327.0,327.0,limit,buy,gtc,4.828210547,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,-78.10623899999982
1763,31c5113e-2f0b-4848-a578-1ad06163aa31,2023-06-07 02:50:13.663861+00:00,2023-06-07 02:50:13.713912+00:00,2023-06-07 02:50:13.662876+00:00,2023-06-07 02:50:13.665951+00:00,,,,,91.0913,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-48.86859999999999
1764,874218cd-500d-423a-a458-afbf16595919,2023-06-07 02:50:13.619793+00:00,2023-06-07 02:52:30.514241+00:00,2023-06-07 02:50:13.618733+00:00,2023-06-07 02:52:30.495273+00:00,,,,,91.019248755,21.0,21.0,limit,buy,gtc,91.019248755,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.134223855000045
1765,878084e1-589c-4b05-9b63-943fdf6b71b0,2023-06-07 02:50:12.902896+00:00,2023-06-07 02:50:12.914213+00:00,2023-06-07 02:50:12.901840+00:00,2023-06-07 02:50:12.906385+00:00,,,,,6.225453,321.420399999,321.420399999,market,sell,gtc,,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,85.00058904093541
1766,a7d2abbe-211a-4a7f-8cd6-ef9f57a2aa06,2023-06-07 02:45:19.647220+00:00,2023-06-07 02:45:19.664192+00:00,2023-06-07 02:45:19.646201+00:00,2023-06-07 02:45:19.649708+00:00,,,,,4.828210547,420.0,420.0,market,buy,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,-106.34842974000006
1767,8445b860-0322-4a3b-a422-e5f052b26092,2023-06-07 02:45:17.374591+00:00,2023-06-07 02:45:17.413791+00:00,2023-06-07 02:45:17.373325+00:00,2023-06-07 02:45:17.376690+00:00,,,,,91.019248755,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-47.28347261000005
1768,e8f538d2-5d2a-49e2-9271-c3b718656f23,2023-06-07 02:45:15.644541+00:00,2023-06-07 02:45:15.663741+00:00,2023-06-07 02:45:15.643266+00:00,2023-06-07 02:45:15.646931+00:00,,,,,14.646147562,137.0,137.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-139.21221599399982
1769,24c62f5f-4b3a-4743-823d-a98c51474de9,2023-06-07 02:45:13.477946+00:00,2023-06-07 02:45:13.514748+00:00,2023-06-07 02:45:13.476849+00:00,2023-06-07 02:45:13.481158+00:00,,,,,6.242217115,322.0,322.0,market,buy,gtc,,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-90.55191102999986
1770,5631aca0-bc3a-4cfe-970f-7d19113ef955,2023-06-07 02:19:21.624480+00:00,2023-06-07 02:19:21.665570+00:00,2023-06-07 02:19:21.623302+00:00,2023-06-07 02:19:21.626305+00:00,,,,,4.795540917,2106.160199995,2106.160199995,market,sell,gtc,,,filled,False,,,,,39d2df3b-4273-46a9-956d-c23634be1e38,UNI/USD,4.575,464.4945018558009
1771,55b374d5-8659-4f00-a5c2-66a44b4ef161,2023-06-07 02:19:21.577312+00:00,2023-06-07 02:19:21.617342+00:00,2023-06-07 02:19:21.576131+00:00,2023-06-07 02:19:21.579229+00:00,,,,,20.257988601,2193.233718423,2193.233718423,market,sell,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,6772.680721819066
1772,5651270c-f07f-488f-8907-14b90832b384,2023-06-07 02:19:21.524697+00:00,2023-06-07 02:19:21.617868+00:00,2023-06-07 02:19:21.523111+00:00,2023-06-07 02:19:21.580869+00:00,,,,,89.393380554,1091.154799992,1091.154799992,market,sell,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,571.0892037195713
1773,26173998-666c-472f-9c4a-da132ba90064,2023-06-07 02:19:21.481789+00:00,2023-06-07 02:19:21.517030+00:00,2023-06-07 02:19:21.480438+00:00,2023-06-07 02:19:21.483637+00:00,,,,,6.205521749,2427.798195155,2427.798195155,market,sell,gtc,,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,593.6494608983429
1774,f5178356-c028-41a5-b2a7-a1c3dcb256b9,2023-06-07 02:19:21.430599+00:00,2023-06-07 02:19:21.471412+00:00,2023-06-07 02:19:21.428988+00:00,2023-06-07 02:19:21.432716+00:00,,,,,1893.473537643,12.9816,12.9816,market,sell,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,699.1050842663715
1775,f9e5f83a-fd26-4eda-980f-cdc24ced28d2,2023-06-07 02:19:21.376889+00:00,2023-06-07 02:19:21.963918+00:00,2023-06-07 02:19:21.375652+00:00,2023-06-07 02:19:21.915576+00:00,,,,,110.227342795,2069.17294672,2069.17294672,market,sell,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-1184.9267963302864
1776,6a0c8ded-9bf1-4a41-831c-e3fe3c9e53dd,2023-06-07 02:19:21.322765+00:00,2023-06-07 02:19:21.416491+00:00,2023-06-07 02:19:21.321217+00:00,2023-06-07 02:19:21.375591+00:00,,,,,14.328663131,1821.88536476,1821.88536476,market,sell,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,1272.8841332662985
1777,e4fadb37-75a5-41d3-b158-14461537c963,2023-06-07 02:19:21.274154+00:00,2023-06-07 02:19:21.813319+00:00,2023-06-07 02:19:21.272515+00:00,2023-06-07 02:19:21.770749+00:00,,,,,59.228780214,2200.771799938,2200.771799938,market,sell,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-1037.0472166016325
1778,1974d4aa-58a3-4af2-b851-c1d5cb600f46,2023-06-06 10:35:17.780932+00:00,2023-06-06 10:35:17.813725+00:00,2023-06-06 10:35:17.779842+00:00,2023-06-06 10:35:17.782963+00:00,,,,,88.33665979,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,11.733484620000127
1779,c3098f67-b9a4-48a4-a417-9b6e63b6a608,2023-06-06 10:35:17.736301+00:00,2023-06-06 11:13:56.487087+00:00,2023-06-06 10:35:17.735129+00:00,2023-06-06 11:13:56.378617+00:00,,,,,87.886274955,14.0,14.0,limit,buy,gtc,87.886274955,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,13.772150629999999
1780,c165a11f-b6b0-482d-bc15-0dff9bd33047,2023-06-06 10:35:15.893626+00:00,2023-06-06 10:35:15.914447+00:00,2023-06-06 10:35:15.892294+00:00,2023-06-06 10:35:15.895488+00:00,,,,,14.143163039,141.0,141.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-72.35598849899978
1781,8fb9f1ed-b0a9-4cb5-a92c-e4cb9408b643,2023-06-06 10:35:15.847521+00:00,2023-06-06 10:35:15.864354+00:00,2023-06-06 10:35:15.846142+00:00,2023-06-06 10:35:15.850901+00:00,,,,,14.13,47.0,47.0,limit,buy,gtc,14.153045052,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-23.5
